Ticker,Category,Fundamental Cluster,Risk Cluster
IAI,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
GREK,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
MVV,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
LABD,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
ISCF,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IQDG,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
EPHE,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
IDOG,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FEMS,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JSMD,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
GAMR,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
RFDI,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPDN,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
DDWM,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
AMZA,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
ATMP,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
JXI,Utilities,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QQXT,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FBGX,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
TOLZ,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GVAL,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DOO,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QEMM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IGRO,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DGRS,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CURE,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
CHAD,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FXN,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
DXD,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
GRID,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XHS,Health,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CHAU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
CVY,Allocation--70% to 85% Equity,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EFAD,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ESGG,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PHDG,Long-Short Equity,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XES,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
MILN,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PSL,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
DJD,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DIVC,Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
RYJ,Mid-Cap Growth,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BFOR,Mid-Cap Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FYT,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FDM,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RZG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PWC,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EIS,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SGDJ,Equity Precious Metals,Low Fundamentals Broad Market,High Risk - Double Market Volatile
DIG,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
RXL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
ETHO,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SRTY,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
EWZS,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile
INDL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
ESG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DBEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CIL,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XSMO,Small Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IPKW,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PIN,India Equity,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
DBAW,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FCG,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
QAT,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
CSB,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JPXN,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DGRE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FSZ,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IDHQ,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FGM,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SOXS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
DUST,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
CUT,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ZJPN,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QVAL,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QLC,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
HAWX,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ACWF,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XSVM,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWMC,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
INCO,India Equity,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SPVU,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MMTM,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
QABA,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
BICK,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DGT,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XMHQ,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RESP,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
LOWC,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PYZ,Natural Resources,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
AADR,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JDST,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
DEEF,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TWM,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
BJK,Consumer Cyclical,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
IVAL,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IEZ,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
ISRA,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MIDU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
RFFC,Large Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
JSML,Small Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FAB,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
AMUB,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
SYLD,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPMO,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DRIP,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
AIRR,Industrials,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EQWL,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PBJ,Consumer Defensive,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IQDE,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWUS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XWEB,Technology,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
GLIN,India Equity,High Fundamental Broad Market,High Risk - Double Market Volatile
RUSL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
CSD,Mid-Cap Blend,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
GURU,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
TECS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
RFV,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile
QSY,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DEW,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PEZ,Consumer Cyclical,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
HEWG,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SCJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IAK,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
HDGE,Bear Market,"Low Fundamental ETF’s (Energy, Health,Finance)",Betting against the market 
SLX,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile
GOEX,Equity Precious Metals,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EIRL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FTHI,Option Writing,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RYE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
PRNT,Technology,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
HSCZ,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSCI,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CARZ,Consumer Cyclical,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EET,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
MOTI,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IVES,,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
IGN,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CHIX,China Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
LVHI,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWO,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XTL,Communications,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KORU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
BRF,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile
PUI,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ECNS,China Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PBS,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XRLV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
AFK,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FILL,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
HAP,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
LNGR,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
WBIG,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RFEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PFI,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
GLCN,China Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CNCR,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
RETL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IMOM,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
XMVM,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CSF,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KNOW,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CNXT,China Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
ARGT,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
MLPI,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
KCE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
ZCAN,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DBLV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GXG,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
QWLD,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
BDCZ,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
ROAM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PXQ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
WBIL,Large Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
EVSTC,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
MLPC,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
QMOM,,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
NGE,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
BBC,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
CIZ,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ENFR,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
UYM,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
UMDD,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
SSPY,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EUDG,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FJP,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMC,Consumer Cyclical,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
LEAD,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWK,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
WBIE,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWGS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KBWR,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
NORW,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DDLS,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FVL,Mid-Cap Blend,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
YANG,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
WBIF,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IDX,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
KOL,Miscellaneous Sector,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ERY,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FNK,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile
VEGI,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PAK,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
XPP,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IPOS,Foreign Small/Mid Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ZMLP,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
ASHS,China Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPVM,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EUSC,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EURL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
DAX,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSCC,Consumer Defensive,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ASEA,Pacific/Asia ex-Japan Stk,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
VLU,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RSXJ,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DXJS,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
LBJ,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IQDY,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSET,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DEEP,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DVYA,Diversified Pacific/Asia,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EVX,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DXGE,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
UTES,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ISZE,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EFNL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSCF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
ALFA,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWSC,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ZDEU,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
BBP,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
CN,China Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
UCC,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
PSCE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
FEUZ,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EUM,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
DDIV,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BDCS,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
XCEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EDZ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
SAA,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
PSCD,Consumer Cyclical,Low Fundamentals Broad Market,High Risk - Double Market Volatile
JHMA,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GXF,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SYG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FID,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FLQD,World Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FYLD,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMS,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SDEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
OLD,Real Estate,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
FIHD,World Stock,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
SMCP,Small Growth,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FLQE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ICOL,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EMDV,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EINC,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EDOG,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SKF,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
GRES,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ENOR,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GSJY,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CID,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXP,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
UXI,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
HDAW,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BFIT,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMU,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FMK,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CSA,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
OEUR,Europe Stock,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SPUU,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
SPXE,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PSCU,Utilities,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SYE,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PEX,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
PXI,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
RFEU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MYY,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FKU,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EYLD,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EGPT,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
SYV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GSEU,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DUG,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
NLR,Miscellaneous Sector,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CHIC,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CRAK,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
BZQ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FPA,Pacific/Asia ex-Japan Stk,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FIEE,Europe Stock,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
PGAL,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PY,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DBEZ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
