,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
756,SPEM,2584.0,24.04,0.83,State Street SPDR,4.49,0.81,1.88,0.0011,3/23/2007,S&P Emerging BMI Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,5770.5,130.8,22,,
758,FXD,117.0,19.04,1.44,First Trust,4.65,0.22,0.38,0.0063,5/8/2007,StrataQuant Consumer Discretionary Index,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,1568.9,27.6,11,Consumer Discretionary,Broad
759,TNA,6.0,100.0,3.77,Direxion,4.6,0.02,0.02,0.0112,11/5/2008,Russell 2000 Index (300%),Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,1836.6,21.1,0,,
760,ONLN,27.0,71.86,1.39,ProShares,3.44,0.94,1.19,0.0058,7/13/2018,ProShares Online Retail Index,Consumer Discretionary Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,1168.9,14.8,5,Consumer Discretionary,Retail
761,DMDV,57.0,20.22,1.11,Advisors Asset Management,7.43,0.76,3.28,0.0039,11/27/2018,S&P Developed Ex-U.S. Dividend and Free Cash Flow Yield Index,Foreign Large Cap Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,2.3,0.1,17,,
762,FLAU,110.0,52.35,1.06,Franklin Templeton Investments,8.76,0.62,2.1,0.0009,11/2/2017,FTSE Australia Capped Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Australia,21.7,0.8,18,,
763,PAWZ,28.0,68.0,0.86,ProShares,6.68,0.1,0.15,0.005,11/5/2018,FactSet Pet Care Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,254.6,3.7,9,,
765,VTI,3597.0,22.57,1.04,Vanguard,5.09,2.77,1.38,0.0003,5/31/2001,CRSP US Total Market Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,214532.0,1068.8,23,,
766,ZDEU,47.0,56.76,1.08,State Street SPDR,6.53,1.77,2.72,0.0014,6/11/2014,Solactive GBS Germany Large & Mid Cap Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Germany,3.2,0.1,16,,
768,FXI,52.0,57.52,0.72,iShares,4.06,1.02,2.09,0.0074,10/5/2004,FTSE China 25 Index,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,3975.1,81.6,14,,
769,IYE,35.0,74.69,1.76,iShares,5.22,0.96,3.42,0.0042,6/12/2000,Dow Jones U.S. Oil & Gas Index,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,858.2,30.5,6,Energy,Oil & Gas Exploration & Production
770,ESML,1046.0,3.3,1.28,iShares,5.5,0.34,0.9,0.0017,4/10/2018,MSCI USA Small Cap Extended ESG Focus Index,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,659.8,17.5,20,,
771,VUG,258.0,45.8,1.04,Vanguard,4.5,1.68,0.68,0.0004,1/30/2004,MSCI US Prime Market Growth Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,66428.2,267.4,18,,
772,JMOM,265.0,17.66,0.99,J.P. Morgan,5.51,0.33,0.89,0.0012,11/8/2017,JP Morgan US Momentum Factor Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,153.3,4.1,22,,
773,EQAL,998.0,5.16,1.2,Invesco,4.96,0.64,1.51,0.002,12/23/2014,Russell 1000 Equal Weight Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,562.8,13.4,20,,
774,FEX,376.0,5.83,1.14,First Trust,5.95,0.88,1.14,0.0059,5/8/2007,Defined Large Cap Core Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,1059.3,13.7,20,,
775,VIGI,422.0,31.81,0.76,Vanguard,7.28,1.05,1.28,0.002,2/25/2016,NASDAQ International DividendAchieversSelect Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,3245.3,39.7,22,,
776,MEXX,5.0,100.0,2.96,Direxion,5.1,0.07,0.13,0.0121,5/3/2017,MSCI Mexico IMI 25-50 Net Total Return USD Index (300%),Leveraged Equities,Equity,Multi-Cap,Blend,Latin America,Mexico,18.4,0.3,0,,
777,RNDV,214.0,26.04,1.06,First Trust,6.01,0.6,2.17,0.005,6/20/2017,Nasdaq Riskalyze US Equity Dividend Select Index ,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,6.8,0.3,21,,
779,JEPI,98.0,32.62,-0.59,J.P. Morgan,5.68,3.81,6.85,0.0035,5/20/2020,NONE,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,560.8,10.1,0,,
780,SPXE,483.0,26.98,0.94,ProShares,5.29,0.95,1.14,0.0027,9/22/2015,S&P 500 Ex-Energy Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,22.8,0.3,20,,
781,ZJPN,313.0,24.05,0.67,State Street SPDR,6.39,1.5,1.7,0.0014,6/11/2014,Solactive GBS Japan Large & Mid Cap Index,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,17.7,0.2,21,,
782,ITA,37.0,73.31,1.27,iShares,6.31,1.61,1.64,0.0042,5/5/2006,Dow Jones U.S. Select Aerospace & Defense Index,Industrials Equities,Equity,Multi-Cap,Growth,North America,U.S.,2757.0,28.1,9,Industrials,Aerospace & Defense
783,DEFA,2.0,100.0,0.84,iShares,7.48,0.64,2.07,0.0035,1/5/2016,MSCI EAFE Adaptive Hedge to USD Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,6.2,0.2,2,,
785,GLIF,91.0,40.63,0.73,AGFiQ Asset Management,6.93,0.65,2.73,0.0046,5/23/2019,NONE,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,2.4,0.1,11,Utilities,Infrastructure
787,JUST,457.0,27.36,1.0,Goldman Sachs,5.47,0.74,1.32,0.002,6/7/2018,JUST US Large Cap Diversified Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,200.1,3.6,19,,
788,GSEU,401.0,15.0,0.9,Goldman Sachs,7.71,0.61,1.85,0.0025,3/2/2016,Goldman Sachs ActiveBeta Europe Equity Index,Europe Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,18.1,0.6,20,,
789,FDMO,125.0,31.13,0.97,Fidelity,4.91,0.34,0.79,0.0029,9/12/2016,Fidelity U.S. Momentum Factor Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,123.8,2.9,20,,
791,SMCP,7.0,100.0,1.16,AlphaMark Advisors,4.15,0.14,0.49,0.0122,4/21/2015,NONE,Small Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,25.0,0.9,1,,
792,IDLB,683.0,2.62,0.75,Invesco,6.12,0.35,1.2,0.0045,11/5/2015,FTSE Developed ex US Low Beta Equal Weight Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,7.3,0.3,20,,
793,UCC,134.0,67.92,2.25,ProShares,4.73,0.04,0.05,0.0095,1/30/2007,Dow Jones U.S. Consumer Services Index (200%),Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,25.7,0.3,0,Consumer Discretionary,Consumer Services
794,HEWC,2.0,100.0,0.79,iShares,7.01,1.43,4.94,0.0054,6/29/2015,MSCI Canada 100% Hedged to USD Index,Global Equities,Equity,Multi-Cap,Blend,North America,Canada,13.0,0.5,2,,
795,UGE,98.0,66.2,1.87,ProShares,5.89,0.34,0.44,0.0095,1/30/2007,Dow Jones U.S. Consumer Goods Index (200%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,11.5,0.2,0,Consumer Staples,Consumer Goods
796,RNDM,430.0,15.93,0.78,First Trust,8.0,0.58,1.13,0.0065,6/20/2017,Nasdaq Riskalyze Developed International Equity Select Index ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,23.3,0.5,21,,
797,RWVG,5.0,100.02,1.1,Direxion,5.84,0.6,1.1,0.0064,1/16/2019,Russell 1000 Value/Growth 150/50 Net Spread Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,34.7,0.6,2,,
798,RTH,26.0,70.24,0.93,VanEck,5.25,1.0,0.66,0.0035,12/20/2011,MVIS US Listed Retail 25 Index,Consumer Discretionary Equities,Equity,Large-Cap,Blend,North America,U.S.,177.8,1.2,3,Consumer Discretionary,Retail
799,ESG,272.0,33.38,1.01,FlexShares,5.2,1.22,1.29,0.0032,7/13/2016,STOXX U.S. ESG Impact Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,178.6,1.9,19,,
800,VFLQ,829.0,8.43,1.16,Vanguard,4.83,1.48,1.43,0.0014,2/15/2018,NONE,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,49.2,0.5,21,,
801,BRF,83.0,34.63,1.24,VanEck,2.92,0.35,1.85,0.0063,5/12/2009,MVIS Brazil Small-Cap Index,Latin America Equities,Equity,Small-Cap,Blend,Latin America,Brazil,43.9,2.3,19,,
802,QVAL,52.0,23.89,1.41,Alpha Architect,6.07,0.52,1.69,0.0049,10/22/2014,NONE,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,157.3,5.2,16,,
804,PQSV,767.0,3.66,1.26,PGIM Investments,3.83,0.84,1.35,0.0029,11/13/2018,NONE,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,12.5,0.2,20,,
805,EMMF,222.0,18.6,0.65,WisdomTree,4.82,0.47,1.89,0.0048,8/10/2018,NONE,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,5.1,0.2,20,,
806,EWC,91.0,45.66,1.05,iShares,7.02,0.64,1.95,0.0051,3/12/1996,MSCI Canada Index,Global Equities,Equity,Multi-Cap,Blend,North America,Canada,3591.4,108.7,18,,
808,FIDU,339.0,31.8,1.2,Fidelity,6.2,0.6,1.21,0.0008,10/21/2013,MSCI USA IMI Industrials Index,Industrials Equities,Equity,Large-Cap,Blend,North America,U.S.,643.0,13.3,16,Industrials,Broad
809,XSMO,115.0,21.31,1.12,Invesco,4.51,0.39,0.76,0.0039,3/3/2005,S&P SmallCap 600 Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,161.5,3.2,18,,
810,VFQY,770.0,8.69,1.14,Vanguard,5.39,1.22,1.12,0.0013,2/15/2018,NONE,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,70.6,0.7,21,,
811,UAE,34.0,72.9,0.8,iShares,4.86,0.56,4.27,0.0059,4/29/2014,MSCI All UAE Capped Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Middle East,United Arab Emirates,25.2,2.0,10,,
812,DOO,93.0,20.27,0.82,WisdomTree,7.49,1.42,3.41,0.0058,6/16/2006,WisdomTree International Dividend ex-Financials Index,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,141.2,3.4,19,,
813,DWMF,201.0,11.09,0.64,WisdomTree,7.36,0.51,2.08,0.0038,8/10/2018,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,36.4,1.5,20,,
814,ISEM,386.0,32.67,0.9,Invesco,3.34,0.73,2.53,0.0035,9/12/2018,Invesco Strategic Emerging Markets Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,24.9,0.9,22,,
815,UTRN,26.0,40.41,1.01,Exchange Traded Concepts,6.01,2.68,8.87,0.0075,9/21/2018,Vesper US Large Cap Short-Term Reversal Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,57.4,1.9,13,,
817,XLU,29.0,63.2,0.36,State Street SPDR,7.87,1.97,3.3,0.0012,12/16/1998,Utilities Select Sector Index,Utilities Equities,Equity,Large-Cap,Value,North America,U.S.,11307.3,189.5,2,Utilities,Broad
818,VOOG,233.0,50.01,0.98,Vanguard,4.42,2.03,0.9,0.001,9/9/2010,S&P 500 Growth Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,4963.4,21.9,19,,
820,VLUE,149.0,35.52,1.12,iShares,6.49,2.11,2.13,0.0015,4/16/2013,MSCI USA Value Weighted Index,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,12504.6,126.7,21,,
821,SSPY,505.0,7.31,1.12,"Syntax Advisors, LLC",5.97,0.91,1.53,0.003,1/2/2019,Syntax Stratified LargeCap Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,44.8,0.8,21,,
822,SPYD,81.0,14.43,1.12,State Street SPDR,5.9,1.63,4.25,0.0007,10/21/2015,S&P 500 High Dividend Index,Large Cap Blend Equities,Equity,Large-Cap,Value,North America,U.S.,2934.3,76.4,15,,
823,FJP,101.0,17.76,0.73,First Trust,5.53,0.51,0.99,0.008,4/26/2011,NASDAQ AlphaDEX Japan Index,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,38.8,0.8,18,,
824,VCR,300.0,54.27,1.28,Vanguard,5.75,4.71,1.69,0.001,1/30/2004,MSCI US Investable Market Consumer Discretionary 25/50 Index,Consumer Discretionary Equities,Equity,Large-Cap,Growth,North America,U.S.,5108.9,18.4,14,Consumer Discretionary,Broad
825,ENFR,38.0,63.97,1.61,ALPS,3.79,1.17,6.75,0.0065,10/31/2013,Alerian Energy Infrastructure Index,Energy Equities,Equity,Multi-Cap,Blend,North America,Broad,50.3,2.9,6,Energy,Energy Infrastructure
827,LIT,41.0,59.65,1.26,Global X,4.94,0.25,0.42,0.0075,7/22/2010,Solactive Global Lithium Index,Commodity Producers Equities,Equity,Micro-Cap,Blend,Developed Markets,Broad,2725.2,46.2,6,Materials,Lithium
828,QQQE,103.0,12.16,1.05,Direxion,5.71,0.41,0.54,0.0035,3/21/2012,NASDAQ-100 Equal Weighted Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,349.3,4.7,15,,
830,VIOV,471.0,11.53,1.35,Vanguard,4.05,1.99,1.15,0.0015,9/9/2010,S&P SmallCap 600 Value Index,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,1059.8,6.1,21,,
831,NORW,57.0,59.13,1.2,Global X,8.85,0.26,1.94,0.005,11/9/2010,FTSE Norway 30 Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,42.7,3.2,18,,
833,GNR,96.0,34.09,1.11,State Street SPDR,6.79,1.25,2.45,0.004,9/13/2010,S&P Global Natural Resources Index,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,1814.6,35.8,7,Materials,Natural Resources
834,IBUY,60.0,37.74,1.5,Amplify,3.13,0.62,0.5,0.0065,4/20/2016,EQM Online Retail Index,Consumer Discretionary Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,1786.2,14.2,5,Consumer Discretionary,Retail
836,FLKR,140.0,52.35,0.95,Franklin Templeton Investments,5.49,0.3,0.99,0.0009,11/2/2017,FTSE South Korea Capped Index,Asia Pacific Equities,Equity,Large-Cap,Value,Developed Asia Pacific,South Korea,62.8,2.0,20,,
839,IDHQ,246.0,35.54,0.79,Invesco,7.15,0.47,1.66,0.0029,6/13/2007,S&P BMI International Developed High Quality Rankings Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,99.2,3.5,20,,
840,MIDU,5.0,100.0,3.61,Direxion,5.09,0.02,0.04,0.0106,1/8/2009,S&P MidCap 400 Index (300%),Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,81.4,1.6,0,,
841,SCHE,1503.0,28.99,0.83,Charles Schwab,4.57,0.64,2.0,0.0011,1/14/2010,FTSE All Emerging Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,9096.9,284.1,22,,
842,PSCD,91.0,28.23,1.58,Invesco,5.09,0.45,0.43,0.0029,4/7/2010,S&P SmallCap 600 Consumer Discretionary Index,Consumer Discretionary Equities,Equity,Micro-Cap,Blend,North America,U.S.,59.3,0.6,11,Consumer Discretionary,Broad
848,DEW,505.0,27.9,0.94,WisdomTree,6.26,1.76,3.85,0.0058,6/16/2006,WisdomTree Global Equity Income Index,Large Cap Value Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,63.9,1.4,21,,
849,SUSL,265.0,33.08,0.98,iShares,6.88,0.9,1.35,0.001,5/7/2019,MSCI USA Extended ESG Leaders Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,3022.1,45.4,21,,
850,IYM,37.0,69.83,1.16,iShares,7.45,1.58,1.32,0.0043,6/20/2000,Dow Jones U.S. Basic Materials Index,Materials,Equity,Large-Cap,Blend,Developed Markets,Broad,560.8,4.7,5,Materials,Broad
851,IJR,604.0,6.34,1.27,iShares,4.39,1.02,0.96,0.0006,5/22/2000,S&P SmallCap 600 Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,67002.0,625.8,20,,
854,IVES,69.0,41.89,1.26,ETF Managers Group,5.41,0.2,0.42,0.0068,3/9/2016,Reality Shares Drone Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,53.0,1.1,5,Technology,Broad
855,SIZE,623.0,2.89,1.09,iShares,5.57,1.6,1.37,0.0015,4/16/2013,MSCI USA Risk Weighted Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,862.5,7.4,21,,
857,FXR,126.0,15.19,1.33,First Trust,6.13,0.53,0.98,0.0064,5/8/2007,StrataQuant Industrials Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,1381.3,25.5,15,Industrials,Broad
860,DBEF,882.0,13.86,0.74,DWS,7.46,0.81,2.33,0.0036,6/9/2011,MSCI EAFE US Dollar Hedged Index,Hedge Fund,Equity,Multi-Cap,Blend,Developed Markets,EAFE,3673.7,105.4,22,,
861,TDIV,80.0,59.28,0.99,First Trust,7.01,1.03,2.0,0.005,8/14/2012,NASDAQ Technology Dividend Index,Technology Equities,Equity,Large-Cap,Blend,North America,U.S.,1410.9,27.5,8,Technology,Broad
862,IDRV,102.0,38.35,1.41,iShares,4.56,0.3,0.67,0.0047,4/16/2019,NYSE FactSet Global Autonomous Driving and Electric Vehicle Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,301.1,6.8,9,,
863,NUSI,105.0,50.78,0.43,Nationwide,4.6,2.08,7.77,0.0068,12/19/2019,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,241.3,9.0,16,,
864,JHME,33.0,61.5,2.01,John Hancock,5.51,0.49,2.45,0.004,3/28/2016,John Hancock Dimensional Energy Index,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,22.2,1.1,6,Energy,Oil & Gas Exploration & Production
865,EBIZ,42.0,43.5,1.35,Global X,3.24,0.27,0.8,0.005,11/27/2018,Solactive E-commerce Index,Consumer Discretionary Equities,Equity,Multi-Cap,Growth,Global,Broad,222.0,6.5,6,Consumer Discretionary,Broad
866,DEEP,102.0,12.56,1.33,Roundhill Financial LLC,3.56,1.12,3.36,0.008,9/22/2014,Acquirers Deep Value Index,Small Cap Value Equities,Equity,Multi-Cap,Value,North America,U.S.,34.9,1.1,19,,
867,QABA,155.0,23.26,1.16,First Trust,3.02,1.14,2.0,0.006,6/29/2009,NASDAQ OMX ABA Community Bank Index,Financials Equities,Equity,Micro-Cap,Blend,North America,U.S.,119.7,2.1,3,Financials,Community Banks
868,XOP,44.0,43.14,2.58,State Street SPDR,4.06,1.09,1.2,0.0035,6/19/2006,S&P Oil & Gas Exploration & Production Select Industry Index,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,4079.4,45.3,6,Energy,Oil & Gas Exploration & Production
869,DTH,352.0,22.57,0.9,WisdomTree,8.07,1.4,3.64,0.0058,6/16/2006,WisdomTree DEFA Equity Income Index,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,179.2,4.7,21,,
870,FTXH,27.0,62.5,0.92,First Trust,4.03,0.21,0.83,0.006,9/21/2016,Nasdaq U.S. Smart Pharmaceuticals Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,19.1,0.8,4,Healthcare,Pharmaceutical
871,OEUR,51.0,32.61,0.77,O'Shares,8.24,0.9,3.72,0.0048,8/19/2015,FTSE Europe Qual / Vol / Yield Factor 5% Capped Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,20.5,0.9,14,,
872,BATT,90.0,44.24,1.49,Amplify,5.99,0.03,0.22,0.0059,6/6/2018,NONE,Commodity Producers Equities,Equity,Multi-Cap,Blend,Global,Broad,126.9,8.2,12,Materials,Metals & Mining
875,DIM,472.0,10.14,0.94,WisdomTree,7.31,1.61,2.47,0.0058,6/16/2006,WisdomTree International MidCap Dividend Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,139.9,2.2,20,,
876,PQIN,455.0,2.92,1.04,PGIM Investments,6.97,1.31,2.25,0.0029,12/4/2018,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,40.2,0.7,22,,
877,SMDY,401.0,9.84,1.29,"Syntax Advisors, LLC",4.52,0.3,0.79,0.003,1/17/2020,Syntax Stratified MidCap Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,4.7,0.1,20,,
878,COWZ,100.0,23.69,1.19,Pacer Financial,5.52,0.85,2.2,0.0049,12/16/2016,Pacer US Cash Cows 100 Index ,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,279.2,7.4,19,,
879,PRFZ,1430.0,3.24,1.29,Invesco,4.46,1.38,0.8,0.0039,9/20/2006,FTSE RAFI US 1500 Small-Mid Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,1900.0,11.0,22,,
880,AVDV,1025.0,6.21,1.32,American Century Investments,6.29,0.95,1.57,0.0036,9/24/2019,NONE,Foreign Small & Mid Cap Equities,Equity,Small-Cap,Value,Developed Markets,Broad,493.9,8.1,21,,
881,PBE,31.0,48.73,1.08,Invesco,5.42,0.03,0.04,0.0058,6/23/2005,Dynamic Biotechnology & Genome Intellidex Index,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,270.5,3.8,3,Healthcare,Biotechnology
883,FCTR,154.0,20.75,1.08,First Trust,4.9,0.13,0.39,0.0065,7/26/2018,Lunt Capital US Large Cap Equity Rotation Index,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,182.8,5.5,20,,
884,PLAT,52.0,47.92,1.12,WisdomTree,3.09,0.05,0.11,0.002,5/22/2019,WisdomTree Modern Tech Platforms Index,Global Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,14.5,0.3,7,,
885,MGK,103.0,56.05,1.03,Vanguard,4.48,1.32,0.66,0.0007,12/21/2007,MSCI US Large Cap Growth Index,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,9593.0,48.0,13,,
886,IVE,438.0,18.68,1.01,iShares,6.21,3.03,2.2,0.0018,5/22/2000,S&P 500 Value Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,20383.9,148.3,21,,
888,KOKU,1264.0,17.35,0.96,DWS,5.83,0.38,0.52,0.0009,4/8/2020,MSCI Kokusai Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,814.9,11.2,21,,
889,PBJ,32.0,44.78,0.67,Invesco,4.86,0.4,1.04,0.0063,6/23/2005,Dynamic Food & Beverage Intellidex Index,Consumer Staples Equities,Equity,Multi-Cap,Blend,North America,U.S.,68.4,1.8,5,Consumer Staples,Food & Beverage
891,WLDR,143.0,24.9,1.05,Regents Park Funds,7.3,0.41,1.62,0.0047,12/29/2017,Thomson Reuters StarMine Affinity World Leaders Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,17.6,0.7,20,,
892,BJK,42.0,58.56,1.52,VanEck,5.86,0.22,0.42,0.0066,1/22/2008,S-Network Global Gaming Index,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,141.8,2.7,4,Consumer Discretionary,Gaming
895,SLYV,473.0,7.31,1.34,State Street SPDR,4.05,0.93,1.14,0.0015,9/29/2000,S&P SmallCap 600 Value Index,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,3976.9,48.8,20,,
897,CRAK,26.0,62.95,1.39,VanEck,6.82,0.66,2.28,0.006,8/18/2015,MVIS Global Oil Refiners Index,Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,20.2,0.7,3,Energy,Oil & Gas Exploration & Production
898,CRBN,1373.0,14.73,0.96,iShares,5.86,2.1,1.39,0.002,12/8/2014,MSCI ACWI Low Carbon Target Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,689.4,4.6,22,,
899,HEWG,2.0,100.0,0.97,iShares,6.55,0.73,2.41,0.0053,1/31/2014,MSCI Germany 100% Hedged to USD Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,63.6,2.1,2,,
900,XLC,27.0,73.7,0.98,State Street SPDR,1.15,0.46,0.62,0.0012,6/18/2018,S&P Communication Services Select Sector Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,13098.5,178.6,6,Consumer Discretionary,Media
901,PHO,37.0,58.17,0.88,Invesco,6.97,0.18,0.38,0.006,12/6/2005,NASDAQ OMX US Water Index,Water Equities ,Equity,Multi-Cap,Blend,North America,U.S.,1400.7,29.4,7,Industrials,Water
904,USMV,187.0,15.15,0.74,iShares,5.84,1.23,1.85,0.0015,10/18/2011,MSCI USA Minimum Volatility Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,28058.7,421.0,21,,
905,HJPX,3.0,100.0,0.76,iShares,6.28,0.41,1.19,0.0048,9/29/2015,JPX-Nikkei 400 Net Total Return USD Hedged Index,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,3.4,0.1,3,,
907,SMEZ,91.0,16.09,1.05,State Street SPDR,6.35,1.01,1.41,0.0045,6/4/2014,EURO STOXX Small Index,Europe Equities,Equity,Multi-Cap,Blend,Developed Europe,Broad,12.6,0.2,20,,
908,XLG,52.0,50.1,0.97,Invesco,4.12,3.57,1.24,0.002,5/10/2005,Russell Top 50 Index,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,1686.4,5.8,12,,
909,ISZE,950.0,1.85,0.92,iShares,6.84,0.41,1.36,0.003,6/16/2015,MSCI World ex USA Risk Weighted Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,30.0,1.0,20,,
911,ACWF,454.0,16.33,0.96,iShares,6.45,0.58,1.68,0.0035,4/28/2015,MSCI ACWI Diversified Multi-Factor,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,99.1,2.9,21,,
912,IAI,26.0,78.3,1.09,iShares,7.03,1.23,1.33,0.0042,5/5/2006,Dow Jones U.S. Select Investment Services Index,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,355.5,3.9,3,Financials,Broker-Dealers
913,BLOK,57.0,43.21,1.29,Amplify,5.76,0.66,1.34,0.0071,1/17/2018,NONE,Technology Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1044.9,21.4,11,Technology,Broad
