,Category,Fundamental Cluster,Risk Cluster,kmean_env_cluster,Kmean_Social_cluster,Kmean_Gov_cluster
FYX,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
KXI,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
UWM,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
RDIV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
CHIQ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
MLPX,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
DWX,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
LGLV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
TLTD,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FENY,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
MXI,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FIDU,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
EQAL,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
EWP,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
XNTK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
VTWG,Small Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IQDF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PSQ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
PID,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
VTWV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IVOV,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
QEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SPHB,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
DTN,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
PFM,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
HEZU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DIV,Mid-Cap Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
DWAS,Small Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SDOW,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
ECH,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IYE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RHS,Consumer Defensive,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
RING,Equity Precious Metals,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
BBH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VIDI,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
ERUS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EES,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FNY,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PZD,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
EPS,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
QDEF,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DBEU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FEP,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
THD,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
XTN,Industrials,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RTM,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SPGM,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EZA,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
CSM,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IYZ,Communications,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
TZA,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
RGI,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
DDM,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VIOG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EWD,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EWM,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FAN,Miscellaneous Sector,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EXI,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FGD,Foreign Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
EIDO,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PSCT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
RXI,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
JKI,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
RFG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PDN,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
QQQE,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
GII,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
PSI,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
XSW,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FDT,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PBD,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
KIE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VUSE,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IHE,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
DOL,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FXR,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PJP,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
TUR,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IXG,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
HEWJ,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IXP,Communications,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
JKL,,Low Fundamentals Broad Market,High Risk - Double Market Volatile,,,
IGE,Natural Resources,Mid Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RCD,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
REMX,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
WOOD,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EPOL,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DNL,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
DFE,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
RWJ,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EDIV,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IAT,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
EELV,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EUSA,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
XPH,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
YINN,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
TLTE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWN,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
IFV,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PBE,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
KBWP,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FNDB,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
SGDM,Equity Precious Metals,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
RWK,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
DEF,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
FXG,Consumer Defensive,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
FNI,Miscellaneous Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PPH,Health,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
FMAT,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SPGP,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
PIO,Natural Resources,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
PGJ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FYC,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SLVP,Equity Precious Metals,Mid Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CZA,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FDD,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RYU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
JKJ,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
EDC,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
ENZL,Miscellaneous Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
SMLV,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PIE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DBJP,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PRN,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FAD,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SMOG,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
RTH,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PIZ,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
COPX,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
WDIV,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FXU,Utilities,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
HEEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWI,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PSP,,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
DFJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
ADRE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
ECON,Diversified Emerging Mkts,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FXZ,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SPEU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
TOK,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
BKF,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PKB,Industrials,Mid Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EPU,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
RYF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IEO,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EDEN,Miscellaneous Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
DTH,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
USD,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
DIM,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IEUS,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
RZV,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EQL,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IAI,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
GREK,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,,,
MVV,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EPHE,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IDOG,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
JXI,Utilities,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
QQXT,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
TOLZ,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
GVAL,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
DOO,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
QEMM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DGRS,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CURE,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
FXN,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
GRID,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
XHS,Health,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CVY,Allocation--70% to 85% Equity,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EFAD,Foreign Large Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PHDG,Long-Short Equity,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
